id,name,,address,address2,state_id,postcode,city,tel,fax,website,email,image,latitude,longitude,likes,rating,status
1,Klinik 1 Malaysia Alma Jaya, Alma Jaya,"No. 38, Tingkat Bawah , Lorong Alma Jaya II, Taman Alma Jaya Bukit Mertajam","Seberang Perai Tengah, Pulau Pinang",9,14000,Bukit Mertajam,454521033,,,,,0,0,0,0,NEW
2,Klinik 1 Malaysia Aulong, Aulong,"N0 51 &53, Jalan Medan Bersatu, Taman Medan Bersatu,Taiping","Larut Matang, Perak",7,34000,Taiping,05-8068867,,,,,0,0,0,0,NEW
3,Klinik 1 Malaysia Bandar Lela, Bandar Lela,"Lot 7A &7B, Tingkat Bawah, Blok B Mile 1, Jalan Leila Sandakan","Sandakan, Sabah",12,90700,Bandar Lela,08-6132046,,,,,0,0,0,0,NEW
4,Klinik 1 Malaysia Bandar Puteri Jaya, Bandar Puteri Jaya,"No.41, Tingkat Bawah, Jalan Puteri Jaya 1/1, Bandar Puteri Jaya, Sungai Petani","Kuala Muda, Kedah",2,8000,Sungai Petani,04-4243662,,,,,0,0,0,0,NEW
5,Klinik 1 Malaysia Bandar seri Iskandar, Bandar seri Iskandar,"N0.32 Blod D, Bangunan Rumah Kedai, Bandar Seri Isandar","Perak Tengah, Perak",7,32600,Bandar Seri Iskandar,05-3714260,05-3714260,,,,0,0,0,0,NEW
6,Klinik 1 Malaysia Bandar Sri Alam, Bandar Sri Alam,"Blok A, Rumah Pangsa Sri Alam, Jalan Pangsa 64, Bandar Sri Alam, Johor Bahru","Johor Bahru, Johor",1,81750,Johor Bahru,07-2523001,,,,,0,0,0,0,NEW
7,Klinik 1 Malaysia Bandar Sri Indah, Bandar Sri Indah,"Lot 334, Tingkat Bawah, Bandar Sri Indah Batu 10 Jalan Apas, Tawau","Tawau, Sabah",12,91000,Bandar Sri Indah,08-7541710,,,,,0,0,0,0,NEW
8,Klinik 1 Malaysia Batu Berendam, Batu Berendam,"No.39, Jalan M1, Batu Berendam","Melaka Tengah, Melaka",4,75350,Melaka,06-3170012,,,,,0,0,0,0,NEW
9,Klinik 1 Malaysia Seremban Jaya, Seremban Jaya,"No.2294, Jalan SJ 10/1 , Taman Seremban Jaya, Seremban","Seberang Perai Selatan, Pulau Pinang",5,70450,Seremban,06-6771710,06-6771710,,,,0,0,0,0,NEW
10,Klinik 1 Malaysia Seri Pengkalan, Seri Pengkalan,"KM 4615, Jalan Samarinda 2, Taman Samarinda, Pengkalan, Alor Gajah","Jeli, Kelantan",4,78000,Alor Gajah,06-5560184,,,,,0,0,0,0,NEW
11,Klinik 1 Malaysia Sri Stulang, Sri Stulang,"Tingkat Bawah, Blok G, Rumah Pangsa Sri Stulang 1, Bakar Batu Permas  Jaya, Johor Bahru","Kinta, Perak",1,81250,Johor Bahru,07-2166001,,,,,0,0,0,0,NEW
12,Klinik 1 Malaysia Batu Kawan, Batu Kawan,"No.19 Lorong Cempaka 1, Taman Cempaka, Batu Kawan Simpang Empat, Seberang Perai Selatan","Kemaman, Terengganu",9,14100,Seberang Perai Selatan,04-5880071,,,,,0,0,0,0,NEW
13,Klinik 1 Malaysia Batu Melintang, Batu Melintang,"Kg Batu, Jeli","Hulu Selangor, Selangor",3,17250,Jeli,09-9447622,99440275,,,,0,0,0,0,NEW
